rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROI2010169_2130NNNK25RD.1B1, 48.0613
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROI2010169_2130NNNS15RD.2B1, 35.1497
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROI2010169_2130NNNX15RD.2A1, 48.7360
co-s-rss-1-sroc12-v10/cors_0754/SROC12_169/RSR/S60SROI2010169_2130NNNX25RD.1A1, 48.5250
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROE2010245_1830NNNK25RD.1B1, 47.3483
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROE2010245_1830NNNS24RD.3B1, 34.0894
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROE2010245_1830NNNX24RD.3A1, 45.9649
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROE2010245_1830NNNX25RD.1A1, 47.0318
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROI2010245_1130NNNK55RD.1B1, 46.7201
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROI2010245_1130NNNS63RD.2B1, 42.7749
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROI2010245_1130NNNX55RD.1A1, 46.6112
co-s-rss-1-sroc13-v10/cors_0755/SROC13_245/RSR/S62SROI2010245_1130NNNX63RD.2A1, 51.5794
co-s-rss-1-sroc1-v10/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnk34rd.1b2, 47.8736
co-s-rss-1-sroc1-v10/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnns43rd.2b2, 40.9874
co-s-rss-1-sroc1-v10/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx34rd.1a2, 48.7489
co-s-rss-1-sroc1-v10/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx43rd.2a2, 54.5704
co-s-rss-1-sroc1-v10/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnnk25rd.1b2, 48.1988
co-s-rss-1-sroc1-v10/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnnk26rd.3b2, 49.6867
co-s-rss-1-sroc1-v10/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnnk34rd.1b2, 48.5440
co-s-rss-1-sroc1-v10/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnns14rd.2b2, 44.2471
co-s-rss-1-sroc1-v10/cors_0107/sroc1_123/rsr/s10sroi2005123_0230nnns43rd.2b2, 42.1164
co-s-rss-1-sroc1-v10/cors_0107/sroc1_123/rsr/s10sroi2005123_0230nnnx14rd.2a2, 55.5595
co-s-rss-1-sroc1-v10/cors_0107/sroc1_123/rsr/s10sroi2005123_0230nnnx25rd.1a2, 48.8427
co-s-rss-1-sroc1-v10/cors_0107/sroc1_123/rsr/s10sroi2005123_0230nnnx26rd.3a2, 49.4429
co-s-rss-1-sroc1-v10/cors_0108/sroc1_123/rsr/s10sroi2005123_0230nnnx34rd.1a2, 48.9596
co-s-rss-1-sroc1-v10/cors_0108/sroc1_123/rsr/s10sroi2005123_0230nnnx43rd.2a2, 54.6980
co-s-rss-1-sroc1-v10/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnnk55rd.2b2, 49.4751
co-s-rss-1-sroc1-v10/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnns63rd.1b2, 43.5484
co-s-rss-1-sroc1-v10/cors_0109/sroc1_141/rsr/s11sroe2005141_1221nnnx55rd.2a2, 48.9877
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnk34rd.1b2, 47.4930
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnx34rd.1a2, 48.1668
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0755nnnx43rd.2a2, 53.9880
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0815nnns43rd.2b2, 42.1377
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0900nnnk55rd.2b2, 46.4265
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0900nnns63rd.1b2, 41.8691
co-s-rss-1-sroc1-v10/cors_0110/sroc1_141/rsr/s11sroi2005141_0900nnnx55rd.2a2, 47.3300
co-s-rss-1-sroc1-v10/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnnk25rd.1b2, 48.2180
co-s-rss-1-sroc1-v10/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnnk26rd.3b2, 49.2926
co-s-rss-1-sroc1-v10/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnnk55rd.1b2, 48.9915
